"ID","USERNAME","FOLLOWERS","FOLLOWING","PUBLICATIONS","EMAIL"
"5848","twitch.beastinnn","6230","118","44",
"5849","lencioppaofficial","0","0","0",
"5850","stelaplaka","94530","7246","2305",
"5901","durushankas_blog","0","0","0",
"5902","paul_walker.fan","187","1084","1",
"5903","izmirgoxho","16767","3999","330",
"5904","albanxhakaj","8797","155","170",
"5905","bmw_andhamann","105266","404","2322",
"5906","tik_tok_algerien_22","0","0","0",
"5907","wonderful_areas","90385","478","783",
"5908","oussama_akbi","1752","199","13",
"5909","xlifeas_maryx","0","0","0",
"5910","mellydrxw","11906","2290","340",
"5911","hot_offer_store","533","7216","110",
"5912","yasser.naidja","19329","2","287",
"5913","yo_uva2017","120","116","2",
"5914","style.killerz","0","0","0",
"5915","inbeat.co","21","18","9",
"5916","coup_de_coeur25","51608","3062","485",
"5917","lilys_fairy_touch","49960","311","1006",
"5918","bengalcatsworld","113305","658","741",
"5919","mimi.kamili","58939","2484","166",
"5920","one_lovely_horse","0","0","0",
"5921","mgkrol2","0","0","0",
"5922","beauty_fashion_stylish","1702","7206","443",
"5923","djamelpianist","641","1025","29",
"5924","noorelymen","20396","415","187",
"5925","butesdz","3186","25","69",
"5926","dailygtech","22215","738","822",
"5927","rmt.world","20857","3390","120",
"5928","1funwithus1","0","0","0",
"5929","hadjer.lek","0","0","0",
"5930","dounga.k","19192","241","75",
"5931","midi30","3397","1000","1309",
"5932","lallala3roussa30","0","0","0",
"5933","nabila.gz","0","0","0",
"5934","islem_abidat","0","0","0",
"5935","cristiurbi","918944","463","1348",
"5936","victormelida","1667846","308","142",
"5937","aarongwin1","445604","508","1720",
"5938","las_ratitas_pandilleras","271646","4","304",
"5939","martaa_diiaz","2581921","443","186",
"5940","maestro_migran","214676","134","1532",
"5941","xfarganxyt","922","51","5",
"5942","marinacomes","292907","411","1251",
"5943","thetoretegg1","0","0","0",
"5944","estebanchavesbta","372613","1447","906",
"5945","theshootercoc","2010963","407","336",
"5946","redbullbike","2302926","482","1734",
"5947","kokettashop","165771","879","5240",
"5948","joanmir36official","399088","590","888",
"5949","isabelfigueira.oficial","206175","1740","3130",
"5950","nexxuzofficial","867771","481","248",
"6001","socialbond","2946","271","27",
"6002","tonibou","295830","500","867",
"6003","monsterenergy","7144334","1117","6037",
"6004","jonnywalker_22","346738","1089","1472",
"6005","vanesabasanta","223114","288","1993",
"6006","teeteenteta","0","0","0",
"6007","rosepalhares","43585","1","1887",
"6008","travelgirlboss","33757","1183","490",
"6009","silvianjoki","110571","703","1437",
"6010","bakedonline","140177","1324","1078",
"6011","jocelynenkiambi","70","56","0",
"6012","is_editorial","19078","951","308",
"6013","perola_pearl","1627965","1188","1929",
"6014","sorayadapiedade","76759","3247","1490",
"6015","ShelfInc","849","1698","199",
"6016","somayanabildesigns","337656","690","954",
"6017","styleismything","137003","532","2068",
"6018","MustLuvvShoes","10175","173","144",
"6019","crystal_kasper","51040","1798","298",
"6020","theduodesk","0","0","0",
"6021","_yaramel","7919","755","571",
"6022","dailynation","0","0","0",
"6023","ihssanebenalluch","2463992","617","683",
"6024","iammariaborges","1607321","2217","711",
"6025","gracianoleirivan_twenty20","0","0","0",
"6026","luvvie","326760","2009","3221",
"6027","custodiachineva","17207","309","1324",
"6028","officialamilnaestevao","97305","977","208",
"6029","_ruben.chiquete_","0","0","0",
"6030","tasneems.henna","5763","282","251",
"6031","coreondu","191891","7364","2540",
"6032","pedrofernandooficial","874","2281","438",
"6033","simplypalesa","81605","1384","1817",
"6034","discoveringnatural","30862","548","5193",
"6035","barbie_lloi","0","0","0",
"6036","tasneem.abdulla","9460","322","434",
"6037","kaluhiskitchen","111558","429","1732",
"6038","nazyxo","72440","508","808",
"6039","wilsondesigner","1721","3","278",
"6040","Lauries_blog","1142","750","289",
"6041","angodiva","17769","1550","1776",
"6042","laurie_frempong","16409","2998","1347",
"6043","itspedrodneto","0","0","0",
"6044","wilsonphotographer","27711","993","1292",
"6045","celson_dps","0","0","0",
"6046","marklyndon360","9770","544","327",
"6047","omaribanks11","0","0","0",
"6048","whatwedoinanguilla","1893","267","365",
"6049","iam_indy","12959","1810","13",
"6050","kristasimmons","27073","1101","3492",
"6101","sugsean","50181","3006","658",
"6102","wheretopeanut","41950","1402","1084",
"6103","zharnel_hughes","24705","879","185",
"6104","breezeturner","48475","522","1592",
"6105","luciebfink","165124","1297","2523",
"6106","bontyaxa","13396","3349","2407",
"6107","iamgalla","1892672","763","187",
"6108","progressive_calisthenics","366252","587","999",
"6109","winonaladuke","29838","150","274",
"6110","leomessi","169791984","233","644",
"6111","paulnicklen","6820446","1149","2491",
"6112","mattadlard","676034","652","497",
"6113","thebucketlistfamily","2571858","378","2196",
"6114","taza","448984","188","5964",
"6115","jeffreestar","14332690","169","6041",
"6116","nick_knight","735903","582","3848",
"6117","lucymountain","348348","996","2256",
"6118","emrata","27029945","771","2019",
"6119","tuulavintage","2239688","249","5119",
"6120","nikkietutorials","14553039","671","3122",
"6121","david_lachapelle","530876","12","254",
"6122","lokokitchen","408726","984","251",
"6123","jamescharles","24614699","273","952",
"6124","camillecharriere","1007794","990","7667",
"6125","drafernandagranja","675","0","0",
"6126","zoesugg","9117770","1113","1929",
"6127","cuecasnacozinha","75611","408","11632",
"6128","proudlock","691309","528","3812",
"6129","meghanrienks","1023711","587","2952",
"6130","jimmychin","2762441","835","1669",
"6131","muradosmann","3893900","923","608",
"6132","culturetrip","620038","1190","6737",
"6133","shaaanxo","1446466","637","6271",
"6134","CEW8Oyrhomk","0","0","0",
"6135","doyoutravel","2650198","595","879",
"6136","acozinhacoletiva","36433","788","798",
"6137","thiswildidea","1383980","508","3955",
"6138","dedodemoca","96","107","11",
"6139","negin_mirsalehi","6228277","717","7326",
"6140","patrickta","2103363","1005","2832",
"6141","elavegan","1184651","150","1574",
"6142","nutritionstripped","359714","1238","5630",
"6143","bretcontreras1","1062009","207","3023",
"6144","maryleest","1080078","797","2001",
"6145","emilyschuman","548871","614","4017",
"6146","kayla_itsines","12721499","606","9941",
"6147","mollyyeh","630539","2317","2366",
"6148","justintimberlake","59566375","880","749",
"6149","yamashitaphoto","1801254","532","1487",
"6150","amberfillerup","1379321","856","4222",
"6201","abeautifulmess","674022","732","7181",
"6202","danielkordan","1561296","1085","1997",
"6203","hellolaurenash","46401","3","252",
"6204","iconaccidental","750711","1019","1050",
"6205","jamieoliver","8431206","2364","8218",
"6206","steffy","368119","319","1438",
"6207","joannagaines","12872608","629","2302",
"6208","sammyjaneeason","0","0","0",
"6209","izkiz","2951486","86","1190",
"6210","quero_comida","14","23","0",
"6211","delemosgastroveg","1621","691","500",
"6212","zoekellerart","130685","1788","1050",
"6213","gastronogeek","33655","992","865",
"6214","ssssamanthaa","2050016","849","1513",
"6215","christineandrew","1126407","1463","4129",
"6216","findandeat","75954","191","1548",
"6217","bbcearth","6869498","390","5137",
"6218","sommerray","25571768","545","1202",
"6219","sjanaelise","1610170","535","2702",
"6220","followmeto","451273","334","738",
"6221","cornellbirds","104518","32","693",
"6222","cozinhasaudaveldagra","398945","27","514",
"6223","hudabeauty","48104920","828","878",
"6224","badgalriri","87512347","1508","4714",
"6225","funforlouis","1187600","1355","2182",
"6226","billieeilish","71039649","0","421",
"6227","amivitale","1211831","2438","1527",
"6228","selenagomez","195589878","152","1687",
"6229","bicepslikebriggs","658802","435","2033",
"6230","jessicawang","1445280","509","2087",
"6231","aimeesong","5621375","1014","9880",
"6232","cozinhatravessa","4114","692","489",
"6233","cristiano","243982547","460","2946",
"6234","adventurouskate","99748","463","2686",
"6235","takethepower_july","121711","299","2453",
"6236","witenry","486218","1304","976",
"6237","polinabrz","313182","387","1623",
"6238","inaturalistorg","53430","319","1608",
"6239","whatsupelle","74297","60","694",
"6240","ellenvonunwerth","540327","547","4047",
"6241","desserted_in_paris","301443","653","1268",
"6242","soheefit","313213","308","2824",
"6243","jessicashyba","26789","472","1789",
"6244","momswearheels","71133","822","2665",
"6245","sabinasocol","708014","866","1240",
"6246","centerforbiodiv","33799","463","2037",
"6247","beyonce","156561371","0","1940",
"6248","sonyaesman","1601230","680","2856",
"6249","publiclandshateyou","86689","473","65",
"6250","massy.arias","2793815","969","3957",
"6301","gparrish","229756","1092","3224",
"6302","somostribonatural","12463","156","1073",
"6303","chiaraferragni","22109996","1226","13781",
"6304","melissa","190167","475","257",
"6305","virginiefaitsacuisine","11136","436","496",
"6306","eddiehallwsm","2438094","1041","1347",
"6307","mommyshorts","176186","1129","5900",
"6308","kandeejohnson","1929210","779","2654",
"6309","gigihadid","61260500","1183","3127",
"6310","gordelicias","778","9","37",
"6311","petesouza","2766983","568","2424",
"6312","unep","1921180","372","2643",
"6313","enjoyphoenix","5055779","392","1658",
"6314","vegas_nay","6576715","740","5650",
"6315","jenselter","12723309","348","1770",
"6316","influence4you","8793","1081","530",
"6317","nasaclimatechange","267251","45","478",
"6318","idafrosk","242214","573","1185",
"6319","bigmammagroup","253886","1255","1654",
"6320","diaryofafitmommyofficial","1176432","129","4310",
"6321","youcookcuisine","60751","177","539",
"6322","jannid","1362950","198","4058",
"6323","joelsartore","1524514","330","1614",
"6324","gpbomgourmet","60529","2308","3449",
"6325","helenabordon","1171074","2853","7639",
"6326","lilly","9628567","1318","4553",
"6327","fastgoodcuisine","1696910","490","1965",
"6328","johnrplatt","604","1090","706",
"6329","fernandoecintia","16589","3008","17566",
"6330","jeanimbert","405311","305","1786",
"6331","whatsgabycookin","693314","357","3225",
"6332","pernilleteisbaek","976180","1068","5728",
"6333","yoga_girl","2109415","1905","8002",
"6334","cookingformybaby","90590","481","737",
"6335","ilhan1077","823411","339","2171",
"6336","idadarksky","19425","484","353",
"6337","carodaur","2688113","6402","4780",
"6338","ournextflight","151313","258","650",
"6339","charlotttequeen","158494","539","591",
"6340","eakinwale","116627","87","3126",
"6341","ctilburymakeup","3821258","2635","8758",
"6342","taylorswift","140884653","0","468",
"6343","rosannapansino","4480440","232","2903",
"6344","vincentjmusi","342258","784","445",
"6345","wellandfull","43966","294","783",
"6346","samanthainperson","52244","586","1787",
"6347","syattfitness","721646","1996","2906",
"6348","laurabiceps","43843","2756","3456",
"6349","emilyskyefit","2576512","1014","3175",
"6350","B_h8zXroAjc","0","0","0",
"6401","daniellemarcan","1069768","1504","728",
"6402","yannickalleno","269761","1130","1254",
"6403","carls_of_ohio","544","47","45",
"6404","bonniehoellein","302375","618","1352",
"6405","rocamoons","261280","561","1270",
"6406","kelseywells","2915872","466","3565",
"6407","toosphexy","10045","943","1789",
"6408","msjeanettejenkins","816374","4066","4555",
"6409","martinschoeller","236787","160","478",
"6410","saltyseattle","275647","263","1129",
"6411","davidattenborough","6249301","0","27",
"6412","dronethewhales","6702","24","177",
"6413","nobread","202564","593","3612",
"6414","ashrod","104267","1857","1966",
"6415","the_caterpillar_lab","12399","292","390",
"6416","kyliejenner","201939153","159","6583",
"6417","justinbieber","152039022","491","5870",
"6418","rowanrow","1357682","0","1471",
"6419","rarebeauty","2145677","108","496",
"6420","B_aU86Al-Od","0","0","0",
"6421","gossmakeupartist","703483","973","2917",
"6422","bruce_gilden","231135","111","813",
"6423","simplykennedy_","1662314","348","351",
"6424","ecowatch","32136","1731","449",
"6425","eudiiih","29156","603","1643",
"6426","hervecuisine","500074","3755","2568",
"6427","Songofstyle","330308","2","1551",
"6428","vladamua","728290","863","1239",
"6429","mannymua733","4169010","572","2447",
"6430","kimkardashian","192542350","111","5337",
"6431","stevemccurryofficial","3059320","1520","1326",
"6432","vanessaromito_","45696","467","272",
"6433","therock","205067856","386","5350",
"6434","nationalparkservice","3119955","602","1674",
"6435","alexwildology","1695","332","37",
"6436","joythebaker","487464","891","2675",
"6437","simeonpanda","7288408","158","7055",
"6438","deliciouslyella","2015512","277","5072",
"6439","everydayclimatechange","143124","289","3326",
"6440","rachparcell","1129238","894","5328",
"6441","mynewroots","384164","531","1257",
"6442","arianagrande","208157297","730","4724",
"6443","taramilktea","1398133","981","2051",
"6444","icouldkillfordessert","761","3","1",
"6445","shakira","69060971","105","1690",
"6446","laurenconrad","5978371","386","1670",
"6447","nikki_makeup","1589376","815","1753",
"6448","wrightkitchen","212813","295","1436",
"6449","virunganationalpark","163202","147","494",
"6450","chrisburkard","3618050","896","3876",
"6501","sydneyleroux","1197265","1770","2067",
"6502","nelkafood","20552","725","1347",
"6503","pintsizedawesome","4131","1838","2244",
"6504","napoleoncatcom","2951","3833","610",
"6505","pruu7437","62","312","2",
"6506","wellnessevery19","0","0","0",
"6507","cease191","279","311","39",
"6508","caribbeannewsglobal","666","319","4533",
"6509","eidelmanfoto","994","521","377",
"6510","themarketgirl_","111094","2638","5092",
"6511","caroclack","20926","261","60",
"6512","trendyjungle","0","0","0",
"6513","soyfac","175437","533","87",
"6514","emablom","20459","3364","2207",
"6515","maxifashionbynoelia","0","0","0",
"6516","carlosborregomdp","2111","867","606",
"6517","el_kilombo","3859975","1601","22240",
"6518","healthyfit.moodon","0","0","0",
"6519","sebas_taits","117809","104","3827",
"6520","weddingfactory","27685","747","216",
"6521","fernanda.cobac","115713","781","885",
"6522","deltabru","805","130","2081",
"6523","cande.copello","156286","1016","829",
"6524","agussdici","11745","7453","34",
"6525","_meri","4511","749","51",
"6526","lulufernandezz","0","0","0",
"6527","unamentedemujer","14871","308","1570",
"6528","ivileturia","1782","748","574",
"6529","camimaximoff","0","0","0",
"6530","facundomoroz","7130","615","795",
"6531","theblueyedgal","10425","2001","573",
"6532","almaviajerablog","30444","1515","1574",
"6533","johnregatuso","27302","3529","65",
"6534","schmitzoscar","3668","2595","1603",
"6535","itstyleblog","0","0","0",
"6536","brunoalvarezladd","0","0","0",
"6537","lulens","80449","2327","3095",
"6538","kadito_sg","44239","1245","471",
"6539","jordan.b.peterson","1803112","27","364",
"6540","amandacerny","25433606","558","2151",
"6541","robertdowneyjr","47638473","54","499",
"6542","caspar_lee","2640942","823","1197",
"6543","vancityreynolds","36638598","327","543",
"6544","jakepaul","14023755","7","1016",
"6545","jlo","133966808","1175","2975",
"6546","marcusbutler","3273005","453","189",
"6547","hilaryduff","16110788","1216","2692",
"6548","nashgrier","10755601","335","1342",
"6549","andrearussett","4690361","308","3073",
"6550","iamcardib","78361439","3306","1290",
"6601","ronaldinho","52896756","395","2494",
"6602","priyankachopra","58782422","552","3219",
"6603","thesharkdaymond","1217639","878","5240",
"6604","champagnepapi","72665592","2381","5029",
"6605","tomholland2013","38731628","268","1158",
"6606","kingjames","74696746","358","2098",
"6607","lizakoshy","18796175","1563","1914",
"6608","jenniferaniston","35838789","454","45",
"6609","davidbeckham","65009866","492","1279",
"6610","shaymitchell","29332176","984","5970",
"6611","davidmichigan","10616703","2048","137",
"6612","zendaya","80713827","1531","3465",
"6613","kevonstage","1127346","2377","11697",
"6614","khloekardashian","123302150","137","3849",
"6615","doctor.mike","4027043","270","688",
"6616","pressboardmedia","636","405","124",
"6617","camila_cabello","50936591","702","2451",
"6618","thebodycoach","3924135","2764","10335",
"6619","marcelotwelve","46030309","1347","2353",
"6620","gordongram","10400639","6820","4127",
"6621","justinpjtrudeau","3931088","162","1428",
"6622","camilacoelho","8896606","998","11101",
"6623","lukasabbat","2442889","1141","1532",
"6624","ingridnilsen","1247416","277","1922",
"6625","joerogan","11595829","2968","5737",
"6626","danbilzerian","32695632","335","1361",
"6627","zachking","24179285","179","953",
"6628","nickiminaj","124181073","1370","6113",
"6629","lelepons","42845084","3057","2346",
"6630","minimalistbaker","2062170","51","2999",
"6631","demibagby","2317139","923","1192",
"6632","juliahengel","508","0","2",
"6633","ling.kt","1574349","1159","1633",
"6634","rickeythompson","5821083","971","2413",
"6635","garethbale11","43743061","89","910",
"6636","ddlovato","93433842","661","297",
"6637","sammmyrobinson","643645","1192","1888",
"6638","oliviarink","288539","1362","3239",
"6639","fentybeauty","10442054","264","6015",
"6640","davidchang","1670122","595","271",
"6641","tailopez","2922428","792","2282",
"6642","imjennim","1744677","796","3234",
"6643","alexachung","4161139","936","6173",
"6644","katyperry","108280374","634","1682",
"6645","lilymaymac","4116533","575","1404",
"6646","blakelively","27890719","247","83",
"6647","emmawatson","58985144","51","222",
"6648","jamesrodriguez10","46719723","696","937",
"6649","grantcardone","3107396","2174","6195",
"6650","iamzlatanibrahimovic","45650900","22","741",
"6701","michelle_lewin","13801467","275","1560",
"6702","kendalljenner","142952337","224","3013",
"6703","sincerelyjules","5723195","1456","7230",
"6704","mileycyrus","116816392","720","755",
"6705","ladygaga","45351909","50","3303",
"6706","fatherkels","2802254","554","1317",
"6707","neymarjr","143595064","1414","4848",
"6708","jayalvarrez","6332406","434","606",
"6709","marianodivaio","6251076","238","7722",
"6710","camerondallas","21539309","1121","69",
"6711","gabyweststreet","119993","99","511",
"6712","jandinoasporaat","510254","462","1538",
"6713","menandcoffee","352365","857","1130",
"6714","dance9cyrus","219334","483","1244",
"6715","finest.virgo","0","0","0",
"6716","chantelzales","3968694","401","702",
"6717","danieljaramillo1","1178490","973","468",
"6718","otgenasis","1356839","1098","2257",
"6719","jacqueline____danielle","242999","584","91",
"6720","maggiemacdonald","194223","463","803",
"6721","emilylucius","820893","411","1883",
"6722","hubs_united","306220","70","8906",
"6723","danielaarangoa","2269436","1869","858",
"6724","natasa.93","118","176","37",
"6725","gilmhercroes","1144127","628","106",
"6726","cindyalvarezgarcia989","423108","1451","9887",
"6727","ourlonelyplanet","271495","231","1525",
"6728","dionneluxxe","4111","2226","1781",
"6729","peixeurbano","878395","3","642",
"6730","lucy_samuelian","358890","134","1429",
"6731","qwn_desi","0","0","0",
"6732","sergioluisr09","481490","555","2569",
"6733","missamberfields","723633","3792","607",
"6734","arubaconnections","14485","1633","1954",
"6735","ellenpage","0","0","0",
"6736","carolinehgroth","63736","857","1825",
"6737","chrishemsworth","45425875","430","636",
"6738","lazarbeamyt","2420371","305","118",
"6739","leighannepinnock","6223852","994","2472",
"6740","celestebarber","7518570","1059","1275",
"6741","rebelwilson","9374645","245","957",
"6742","nicolekidman","7306572","143","449",
"6743","jaredpadalecki","5689176","95","312",
"6744","sarahs_day","1190150","1970","2087",
"6745","australia","4598521","331","10170",
"6746","brooklynbeckham","12340423","147","236",
"6747","jessicah_o","4049632","297","861",
"6748","rubyrose","15997415","504","642",
"6749","elsas_wholesomelife","766553","566","1918",
"6750","do0_nct","3169985","12","38",
"6801","thefitfoodieblog","92306","1918","3528",
"6802","_sarahwilson_","261080","441","6978",
"6803","samibloom","18987","2492","1892",
"6804","jshealth","333964","1430","6430",
"6805","thecubegym_","0","0","0",
"6806","danielricciardo","3898604","409","474",
"6807","its_juliarose","5108315","410","196",
"6808","studentbeans_au","2342","254","476",
"6809","thegr8khalid","7613999","1554","167",
"6810","the__unrefined","64524","6582","2475",
"6811","prattprattpratt","29959981","547","592",
"6812","sarahandersencomics","3847045","356","486",
"6813","callofduty","10885303","4","534",
"6814","ausinstfitness","13443","761","1335",
"6815","austinmcbroom","6843605","9","527",
"6816","loganpaul","18582719","579","969",
"6817","liamhemsworth","13680740","253","178",
"6818","themerrymakersisters","67424","556","10077",
"6819","ksi","8788614","469","189",
"6820","bdaustralia","6556","1716","2089",
"6821","ethandolan","8751435","24","675",
"6822","supercarblondie","7906851","481","1328",
"6823","nude_nutritionist","119001","1806","1758",
"6824","oneruel","1565972","381","370",
"6825","sarcasm_only","15292786","1","15278",
"6826","wholesomestef","24665","2065","3491",
"6827","jacksepticeye","7247102","104","1043",
"6828","elle_fit","153382","607","5342",
"6829","thenewclassic","14141137","41","66",
"6830","tammyhembrow","11857482","543","2873",
"6831","buzzfeedtasty","39265681","325","5310",
"6832","margotrobbie","22455112","0","197",
"6833","maiamitchell","6658531","1090","1148",
"6834","pewdiepie","21581577","65","758",
"6835","earthpix","17335988","2","6680",
"6836","perthppe","2030433","339","332",
"6837","lexibrookerivera","7355301","368","397",
"6838","maddieziegler","13815171","1674","1905",
"6839","madelyncline","6004463","1326","151",
"6840","whydontwemusic","5123736","65","789",
"6841","keepitcleaner","312024","103","3651",
"6842","jess","2101273","131","742",
"6843","mrfreshasian","2009541","1119","281",
"6844","krisjenner","37749469","446","5799",
"6845","kensingtonroyal","12185028","111","2191",
"6846","pokimanelol","5511739","742","735",
"6847","lukehemmings","6605967","125","591",
"6848","beautx_n","0","0","0",
"6849","alexejmakarov","590","2131","38",
"6850","sunita_ramic","28925","1671","1050",
"6901","yvonne.re","19663","536","340",
"6902","sherlymaezing","5279","1565","547",
"6903","hanna.blossom","0","0","0",
"6904","sarah__pr","34325","1178","318",
"6905","rawmeyn","200643","617","1143",
"6906","jennysgou","24406","337","471",
"6907","themo_at","0","0","0",
"6908","mihaela_gurau","57238","569","1102",
"6909","sieklas","92434","312","237",
"6910","nikojuranek","16040","383","539",
"6911","misterflopatrick","628327","418","123",
"6912","ladysworldoffashion","8566","3490","2266",
"6913","viraghorvathphoto","4063","1332","440",
"6914","lemontrend","12037","5184","926",
"6915","stylect_vie","1134","689","71",
"6916","glowhunters","8872","590","2106",
"6917","mranzo","1191","1906","490",
"6918","djprincetimehalim","22851","1805","141",
"6919","michelle_terese","205","489","1124",
"6920","love_fashionandlife","35882","2813","982",
"6921","deriasworld","21932","383","1211",
"6922","lookatchichi","3447","547","616",
"6923","michael.p.fuchs","8212","414","465",
"6924","wallnerjessica_","10131","841","584",
"6925","whoismocca","39335","400","1595",
"6926","simon_mathis","0","0","0",
"6927","rohtopia","3016","564","787",
"6928","nigarnazim","636","376","239",
"6929","anushkasharma","44277416","309","1022",
"6930","harrystyles","33722559","347","520",
"6931","bakharnabieva","3065556","382","1080",
"6932","milliebobbybrown","39902714","930","1070",
"6933","badbunnypr","28703772","3","878",
"6934","nehakakkar","49791113","378","1941",
"6935","bts.bighitofficial","34285353","2","738",
"6936","fcbarcelona","91525090","70","13661",
"6937","travisscott","35235334","76","3062",
"6938","charlidamelio","34497177","1631","374",
"6939","kourtneykardash","103498914","135","4014",
"6940","instagram","380289342","74","6585",
"6941","dualipa","55877314","867","617",
"6942","narendramodi","50235792","0","424",
"6943","jennierubyjane","36224447","0","664",
"6944","reviewcollab","0","0","6",
"6945","lalalalisa_m","43007049","0","624",
"6946","virat.kohli","83053490","198","1097",
"6947","ester_exposito","26203133","529","263",
"6948","ursulolita","20772173","711","491",
"6949","karolg","34932901","643","3238",
"6950","addisonraee","32026992","594","413",
"7001","roses_are_rosie","32881555","0","539",
"7002","sooyaaa__","32384847","0","555",
"7003","katrinakaif","45521608","409","819",
"7004","fx_direction","225","920","295",
"7005","insider","2017398","276","2883",
"7006","gavinkfit","518","910","84",
"7007","kevi.tesfaye","4193","1763","32",
"7008","nassaunightmarket","3142","378","458",
"7009","island.nest","446","973","103",
"7010","janiyakoibutler","92","1331","7",
"7011","polinaross","79256","2144","1382",
"7012","realk.c","1902","1243","29",
"7013","dvanyahinsey","1783","4395","641",
"7014","zoeweezjames","6","0","0",
"7015","businessinsider","2600622","178","4493",
"7016","_itsangelsarah","4918","977","141",
"7017","nickey_00","553","612","7",
"7018","bahayogini","0","0","0",
"7019","issi_and_anna","7049","269","120",
"7020","neongypsea","4032","705","6270",
"7021","aurellanovenice","16","0","0",
"7022","ilhanchif","1402","419","210",
"7023","rotationyz","0","0","0",
"7024","wef_wrestling","0","0","0",
"7025","korvin_is_wassup","32","24","0",
"7026","adri.ana51","0","1","0",
"7027","aliumbarcelona","22","2","3",
"7028","kawthari3","1063161","314","247",
"7029","mahertrading","545","743","1777",
"7030","eman.mandeel","2929","862","210",
"7031","hend_alawadhi","78883","1123","3235",
"7032","sofiashamimi","10088","436","200",
"7033","farah_blogs","21079","1642","1304",
"7034","layaly_hd","0","0","0",
"7035","sh2431","4466318","1","2179",
"7036","jelena_workout","14473","981","1213",
"7037","queeen_404","876677","623","388",
"7038","amalimua","51949","4313","816",
"7039","everylittlecrumb","25221","376","1500",
"7040","itsamandapacson","187","472","544",
"7041","nayla.janahi","72146","980","1277",
"7042","nutsaboutkim","1924","929","595",
"7043","hungry_fifi","4740","2022","1355",
"7044","amirhussain91","8267","183","907",
"7045","_hussainali3","3256","57","113",
"7046","abrarsabt7","2918578","140","646",
"7047","omransaeed","13535","1134","776",
"7048","alyamakeup","15932","715","498",
"7049","aseasyasapplepie","5793","1640","140",
"7050","paddlesport_marine","1694","440","516",
"7101","omr94","2022673","550","2213",
"7102","rashell_garcia_baez","0","0","0",
"7103","almahra91","1283100","907","518",
"7104","thegreatameera","943775","928","1121",
"7105","thesyedasistersblog","4663","473","1957",
"7106","sh_mrm","925362","1449","1206",
"7107","incanto_boutique","1042599","0","6614",
"7108","mmhd_q","1421583","165","246",
"7109","blondeinbahrain","12216","2541","1567",
"7110","khaled_janahi","375525","851","396",
"7111","rashaalqahtani","1452","1035","812",
"7112","localbh","29400","548","1391",
"7113","elayna_cruickshank","471","455","4",
"7114","bipinrajan","203","395","843",
"7115","sam__rain","13702","3828","1565",
"7116","vvdd","893040","159","215",
"7117","elhamali85","1049496","745","1181",
"7118","s.u.h.a___","0","0","0",
"7119","B_PQkUpB18q","0","0","0",
"7120","foodandtools","2209","908","942",
"7121","galaxy___88","19543","295","318",
"7122","_tejaswireddy_","1741","992","92",
"7123","rshrsho","25453","995","4768",
"7124","bovlix","1069628","158","161",
"7125","a.sharif92","5501269","314","295",
"7126","lionlady_workout","17154","3280","15",
"7127","caloriesandcarbs","6401","3506","2274",
"7128","shaima4sabt","2224305","525","2094",
